User Full Name *Anonymized,Component,Action,Target
129,Assignment,Viewed,Assignment
92,Assignment,Viewed,Submission_state
92,Assignment,Viewed,Assignment
129,Assignment,Viewed,Submission_state
92,System,Viewed,Content
128,System,Viewed,Content
31,Course,Viewed,Content
92,Assignment,Viewed,Submission_state
92,Assignment,Viewed,Assignment
128,Test,Viewed,Activity
92,System,Viewed,Content
128,System,Viewed,Content
31,Lecture,Viewed,Submission_state
31,Lecture,Viewed,Assignment
92,Assignment,Viewed,Submission_state
92,Assignment,Viewed,Assignment
110,Course,Viewed,Content
128,Test,Viewed,Activity
92,System,Viewed,Content
128,System,Viewed,Content
129,Course,Viewed,Content
110,Assignment,Viewed,Submission_status
110,Assignment,Viewed,Assignment
129,Lecture,Viewed,Submission_status
129,Lecture,Viewed,Activity
129,Lecture,Updated,Completion_state
48,Assignment,Viewed,Submission_status
48,Assignment,Viewed,Assignment
31,Course,Viewed,Content
40,System,Viewed,Content
129,Assignment,Viewed,Submission_state
129,Assignment,Viewed,Assignment
57,Course,Viewed,Content
129,Course,Viewed,Content
57,Assignment,Viewed,Submission_state
57,Assignment,Viewed,Assignment
31,Assignment,Viewed,Assignment
31,Assignment,Viewed,Submission_state
129,Assignment,Viewed,Submission_state
129,Assignment,Viewed,Assignment
57,Assignment,Viewed,Submission_state
57,Assignment,Viewed,Feedback
57,Assignment,Viewed,Assignment
31,Assignment,Viewed,Submission
31,Assignment,Viewed,Assignment
59,Course,Viewed,Content
129,Course,Viewed,Course
31,Assignment,Viewed,Assignment
31,Assignment,Submitted,Submission
31,Assignment,Updated,File_submission
31,Assignment,Uploaded,File_submission
31,Assignment,Viewed,Assignment
148,Folder,Viewed,Folder
31,Assignment,Viewed,Submission_state
129,Course,Viewed,Content
122,Course,Viewed,Course
122,Lecture,Viewed,Submission_status
122,Lecture,Viewed,Activity
122,Lecture,Updated,Completion_state
122,Course,Viewed,Course
148,Course,Viewed,Content
129,Course,Viewed,Content
31,Course,Viewed,Content
122,Survey,Viewed,Choice
94,Course,Viewed,Content
31,Assignment,Viewed,Submission_state
31,Assignment,Viewed,Assignment
94,Assignment,Viewed,Submission
94,Assignment,Viewed,Assignment
122,Survey,Viewed,Choice
122,Survey,Answered,Option
31,Course,Viewed,Content
122,Course,Viewed,Course
31,Assignment,Viewed,Submission_state
31,Assignment,Viewed,Assignment
31,Course,Viewed,Content
94,Assignment,Submitted,Submission
94,Assignment,Updated,File_submission
94,Assignment,Uploaded,File_submission
94,Assignment,Viewed,Assignment
31,Assignment,Viewed,Submission_state
31,Assignment,Viewed,Assignment
94,Assignment,Viewed,Submission_status
94,Assignment,Viewed,Assignment
122,Study_material,Viewed,Folder
54,Course,Viewed,Content
122,Course,Viewed,Course
122,Lecture,Viewed,Submission_status
122,Lecture,Viewed,Activity
54,Test,Viewed,Activity
94,Manual,Viewed,Resource
94,Manual,Viewed,Resource
83,Course,Viewed,Content
128,Course,Viewed,Content
83,Course,Viewed,Content
57,Manual,Viewed,Resource
122,Assignment,Viewed,Submission_status
122,Assignment,Viewed,Feedback
122,Assignment,Viewed,Activity
16,Lecture,Viewed,Activity
16,Lecture,Viewed,Submission 
107,Course,Viewed,Content
57,Assignment,Viewed,Submission_state
57,Assignment,Viewed,Assignment
41,Assignment,Viewed,Submission 
41,Assignment,Viewed,Activity
129,Course,Viewed,Content
110,Course,Viewed,Content
57,Quiz,Viewed,Activity
57,Quiz,Reviewed,Attempt
61,Lecture,Viewed,Submission_status
61,Lecture,Viewed,Activity
61,Lecture,Updated,Completion_state
41,Assignment,Submitted,File_submission 
41,Assignment,Updated,Completion_state
41,Assignment,Created,File_submission 
41,Assignment,Uploaded,File_submission 
41,Assignment,Viewed,Activity
41,Assignment,Viewed,Submission_status
41,Assignment,Viewed,Activity
41,Course,Viewed,Course
129,Assignment,Viewed,Submission_status
129,Assignment,Viewed,Assignment
128,System,Viewed,Content
128,Page,Viewed,Page
41,Assignment,Viewed,Submission_status
41,Assignment,Viewed,Feedback
41,Assignment,Viewed,Activity
128,Assignment,Viewed,Assignment
128,Assignment,Viewed,Submission_state
148,Survey,Viewed,Choice
41,Assignment,Viewed,Submission 
41,Assignment,Viewed,Activity
94,Test,Viewed,Activity
128,Course,Viewed,Content
128,Assignment,Viewed,Assignment
128,Assignment,Viewed,Submission_state
129,Course,Viewed,Content
41,Course,Viewed,Course
