Date,Time,User Full Name *Anonymized
17/11/2023 00:00, 00:00:00,129
10/11/2023 00:00, 00:00:01,26
10/11/2023 00:00, 00:00:02,26
20/12/2023 00:00, 00:00:02,86
20/12/2023 00:00, 00:00:03,86
20/12/2023 00:00, 00:00:03,86
20/12/2023 00:00, 00:00:06,86
23/10/2023 00:00, 00:00:08,94
23/10/2023 00:00, 00:00:08,94
23/10/2023 00:00, 00:00:10,147
23/10/2023 00:00, 00:00:10,147
23/10/2023 00:00, 00:00:10,147
23/10/2023 00:00, 00:00:10,147
23/10/2023 00:00, 00:00:10,147
23/10/2023 00:00, 00:00:11,147
20/12/2023 00:00, 00:00:12,86
23/10/2023 00:00, 00:00:13,94
20/12/2023 00:00, 00:00:13,86
20/12/2023 00:00, 00:00:13,86
16/12/2023 00:00, 00:00:15,129
09/10/2023 00:00, 00:00:19,131
09/10/2023 00:00, 00:00:19,131
09/10/2023 00:00, 00:00:19,131
23/10/2023 00:00, 00:00:21,94
23/10/2023 00:00, 00:00:21,94
24/11/2023 00:00, 00:00:22,18
24/11/2023 00:00, 00:00:22,18
23/10/2023 00:00, 00:00:34,94
09/10/2023 00:00, 00:00:35,131
23/10/2023 00:00, 00:00:35,94
23/10/2023 00:00, 00:00:35,94
17/11/2023 00:00, 00:00:39,129
23/10/2023 00:00, 00:00:40,94
17/11/2023 00:00, 00:00:43,129
20/12/2023 00:00, 00:00:46,86
17/11/2023 00:00, 00:00:47,129
10/11/2023 00:00, 00:00:48,26
10/11/2023 00:00, 00:00:48,26
27/09/2023 00:00, 00:00:51,110
17/11/2023 00:00, 00:00:51,129
09/10/2023 00:00, 00:00:52,122
17/11/2023 00:00, 00:00:55,129
23/11/2023 00:00, 00:00:56,16
23/10/2023 00:00, 00:00:59,94
23/10/2023 00:00, 00:00:59,94
09/10/2023 00:00, 00:01:00,122
17/11/2023 00:00, 00:01:00,129
15/10/2023 00:00, 00:01:03,28
15/10/2023 00:00, 00:01:03,28
17/11/2023 00:00, 00:01:04,129
23/10/2023 00:00, 00:01:07,94
21/11/2023 00:00, 00:01:07,125
15/10/2023 00:00, 00:01:08,28
15/10/2023 00:00, 00:01:08,28
17/11/2023 00:00, 00:01:09,129
23/10/2023 00:00, 00:01:10,94
23/10/2023 00:00, 00:01:10,94
23/10/2023 00:00, 00:01:10,94
10/11/2023 00:00, 00:01:11,26
10/11/2023 00:00, 00:01:11,26
21/11/2023 00:00, 00:01:12,125
21/11/2023 00:00, 00:01:12,125
21/11/2023 00:00, 00:01:12,125
09/10/2023 00:00, 00:01:20,131
09/10/2023 00:00, 00:01:25,131
09/10/2023 00:00, 00:01:25,131
09/10/2023 00:00, 00:01:25,131
27/09/2023 00:00, 00:01:27,110
06/11/2023 00:00, 00:01:32,94
15/12/2023 00:00, 00:01:32,128
10/11/2023 00:00, 00:01:39,26
10/11/2023 00:00, 00:01:39,26
17/11/2023 00:00, 00:01:39,129
17/11/2023 00:00, 00:01:43,129
16/12/2023 00:00, 00:01:43,129
09/10/2023 00:00, 00:01:45,122
09/10/2023 00:00, 00:01:45,122
19/10/2023 00:00, 00:01:49,149
17/11/2023 00:00, 00:01:49,129
17/11/2023 00:00, 00:01:59,129
11/11/2023 00:00, 00:02:00,129
09/10/2023 00:00, 00:02:05,131
17/11/2023 00:00, 00:02:05,129
19/10/2023 00:00, 00:02:09,149
19/10/2023 00:00, 00:02:09,149
11/11/2023 00:00, 00:02:10,129
11/11/2023 00:00, 00:02:10,129
17/11/2023 00:00, 00:02:10,129
19/10/2023 00:00, 00:02:13,149
15/10/2023 00:00, 00:02:15,28
15/10/2023 00:00, 00:02:15,28
17/11/2023 00:00, 00:02:15,129
10/11/2023 00:00, 00:02:16,26
10/11/2023 00:00, 00:02:16,26
10/10/2023 00:00, 00:02:28,43
10/10/2023 00:00, 00:02:30,43
10/10/2023 00:00, 00:02:31,43
17/11/2023 00:00, 00:02:32,129
10/11/2023 00:00, 00:02:34,26
10/11/2023 00:00, 00:02:34,26
11/11/2023 00:00, 00:02:38,129
10/11/2023 00:00, 00:02:39,26
10/11/2023 00:00, 00:02:39,26
15/10/2023 00:00, 00:02:41,28
11/10/2023 00:00, 00:02:51,147
11/10/2023 00:00, 00:02:51,147
11/10/2023 00:00, 00:02:51,147
12/10/2023 00:00, 00:02:53,110
10/11/2023 00:00, 00:02:53,26
10/11/2023 00:00, 00:02:53,26
10/11/2023 00:00, 00:03:00,26
10/11/2023 00:00, 00:03:00,26
11/11/2023 00:00, 00:03:00,129
08/11/2023 00:00, 00:03:01,148
08/11/2023 00:00, 00:03:01,148
11/11/2023 00:00, 00:03:01,129
08/11/2023 00:00, 00:03:02,148
08/11/2023 00:00, 00:03:02,148
15/10/2023 00:00, 00:03:13,28
15/10/2023 00:00, 00:03:14,28
15/10/2023 00:00, 00:03:15,28
15/10/2023 00:00, 00:03:15,28
18/10/2023 00:00, 00:03:15,61
15/10/2023 00:00, 00:03:16,28
10/11/2023 00:00, 00:03:26,26
